Customer_ID|User_ID|User_PWD|FirstName|LastName|ShippingAddress|BillingAddress|Email|PhoneNumber|ShippingCity|ShippingState|ShippingZip|BillingCity|BillingState|BillingZip
1|DamianPerry|pGT75NFO8DD|Winter|Palmer|Ap #327-7565 Auctor Road|Ap #196-5727 Erat Av.|nisl.Nulla.eu@nec.ca|(975) 727-9237|Santa Fe Springs|CT|52445|Sharon|AZ|71310
2|HopeJaden|osW31ffo9sA|Leslie|Pierce|P.O. Box 355, 3401 Gravida Road|P.O. Box 698, 722 Augue. Rd.|mauris@fringillami.edu|(412) 932-1681|Corvallis|NV|06243|La Mirada|WA|72837
3|McKenzieKeefe|RVm84cyd0Qc|William|Whitfield|694-700 Placerat Avenue|P.O. Box 654, 270 Integer Rd.|tempus@Integer.com|(699) 400-3713|Compton|SD|62660|Saint Albans|WI|17428
4|OlgaRashad|vEq48lxj1NU|Brenden|Carpenter|P.O. Box 783, 8958 Scelerisque Rd.|671-7100 Massa. Avenue|eu.tellus@fringillaornare.org|(115) 858-6628|Casper|MA|82669|Seward|NE|71847
5|YettaOscar|UfK32gox0Ja|Isadora|Stephenson|444-9142 Magnis Street|Ap #176-3547 Cursus Rd.|magna.malesuada.vel@Ut.com|(636) 968-4575|Buena Park|CT|83465|Cortland|CO|21370
6|TanishaBreanna|xdU57slT2ZA|Laith|Montgomery|583-9386 Nascetur Rd.|729-4219 Elit Street|lectus.Nullam.suscipit@acturpisegestas.edu|(748) 512-9991|Methuen|MD|22889|Valencia|OH|85094
7|LaceyWhilemina|pCz38EKn1nM|Doris|Herrera|Ap #569-6973 Arcu Ave|499 Molestie Rd.|dui.semper@neceuismod.com|(997) 789-8283|Hoboken|MD|52665|Somerville|WV|57609
8|HolmesElla|Jdb83oCW5Mg|Hedy|Knight|991-9257 Urna. St.|195-1181 Donec Av.|neque@ultricesposuerecubilia.com|(916) 564-6131|Tok|TX|75343|Thomasville|MS|86472
9|VielkaRooney|eFi61ind6aF|Walker|Whitaker|Ap #358-1042 Eu Rd.|744-4246 Placerat Rd.|Quisque.libero.lacus@facilisiSed.edu|(982) 213-6643|Rensselaer|MI|28523|Eugene|TX|72060
10|KayeIllana|sdv78oFw2Mg|Isaac|Dyer|856-3249 Enim. Rd.|Ap #608-6934 Elementum Street|at.auctor.ullamcorper@dictum.ca|(966) 821-0502|Manhattan Beach|WV|89118|Spokane|ND|40063

